Epoch 1/100, train_cost = 1.175, test_accuracy = 0.730, time = 764.845,test-time=1.333
Epoch 2/100, train_cost = 0.922, test_accuracy = 0.731, time = 85.151,test-time=0.860
Epoch 3/100, train_cost = 0.916, test_accuracy = 0.731, time = 25.444,test-time=0.784
Epoch 4/100, train_cost = 0.914, test_accuracy = 0.732, time = 27.109,test-time=1.049
Epoch 5/100, train_cost = 0.905, test_accuracy = 0.729, time = 58.488,test-time=1.217
Epoch 6/100, train_cost = 0.894, test_accuracy = 0.728, time = 94.540,test-time=1.425
Epoch 7/100, train_cost = 0.889, test_accuracy = 0.729, time = 33.555,test-time=1.139
Epoch 8/100, train_cost = 0.886, test_accuracy = 0.730, time = 34.571,test-time=1.129
Epoch 9/100, train_cost = 0.882, test_accuracy = 0.729, time = 35.023,test-time=1.313
Epoch 10/100, train_cost = 0.880, test_accuracy = 0.729, time = 36.164,test-time=1.247
Epoch 11/100, train_cost = 0.878, test_accuracy = 0.727, time = 35.767,test-time=1.278
Epoch 12/100, train_cost = 0.876, test_accuracy = 0.727, time = 39.180,test-time=1.439
Epoch 13/100, train_cost = 0.873, test_accuracy = 0.727, time = 37.103,test-time=1.128
Epoch 14/100, train_cost = 0.866, test_accuracy = 0.726, time = 257.208,test-time=1.278
Epoch 15/100, train_cost = 0.854, test_accuracy = 0.730, time = 659.625,test-time=1.219
Epoch 16/100, train_cost = 0.854, test_accuracy = 0.729, time = 564.143,test-time=1.561
Epoch 17/100, train_cost = 0.853, test_accuracy = 0.728, time = 57.278,test-time=1.212
Epoch 18/100, train_cost = 0.852, test_accuracy = 0.728, time = 54.382,test-time=1.522
Epoch 19/100, train_cost = 0.852, test_accuracy = 0.728, time = 54.822,test-time=1.740
Epoch 20/100, train_cost = 0.851, test_accuracy = 0.728, time = 56.253,test-time=1.425
Epoch 21/100, train_cost = 0.851, test_accuracy = 0.728, time = 60.761,test-time=2.078
Epoch 22/100, train_cost = 0.851, test_accuracy = 0.728, time = 62.726,test-time=1.508
Epoch 23/100, train_cost = 0.850, test_accuracy = 0.728, time = 62.511,test-time=1.188
Epoch 24/100, train_cost = 0.850, test_accuracy = 0.728, time = 61.572,test-time=1.209
Epoch 25/100, train_cost = 0.850, test_accuracy = 0.728, time = 61.481,test-time=1.665
Epoch 26/100, train_cost = 0.850, test_accuracy = 0.728, time = 62.475,test-time=1.148
