Epoch 1/100, train_cost = 1.965, test_accuracy = 0.596, time = 19.916,test-time=0.806
Epoch 2/100, train_cost = 1.544, test_accuracy = 0.622, time = 19.088,test-time=0.739
Epoch 3/100, train_cost = 1.331, test_accuracy = 0.648, time = 19.244,test-time=0.749
Epoch 4/100, train_cost = 1.205, test_accuracy = 0.717, time = 19.300,test-time=0.747
Epoch 5/100, train_cost = 1.126, test_accuracy = 0.725, time = 19.189,test-time=0.737
Epoch 6/100, train_cost = 1.074, test_accuracy = 0.745, time = 19.230,test-time=0.750
Epoch 7/100, train_cost = 1.044, test_accuracy = 0.747, time = 19.282,test-time=0.757
Epoch 8/100, train_cost = 1.022, test_accuracy = 0.748, time = 19.086,test-time=0.678
Epoch 9/100, train_cost = 1.000, test_accuracy = 0.748, time = 19.166,test-time=0.739
Epoch 10/100, train_cost = 0.988, test_accuracy = 0.736, time = 19.040,test-time=0.729
Epoch 11/100, train_cost = 0.975, test_accuracy = 0.735, time = 19.164,test-time=0.739
Epoch 12/100, train_cost = 0.958, test_accuracy = 0.733, time = 18.860,test-time=0.672
Epoch 13/100, train_cost = 0.943, test_accuracy = 0.733, time = 19.331,test-time=0.747
Epoch 14/100, train_cost = 0.928, test_accuracy = 0.733, time = 19.146,test-time=0.731
Epoch 15/100, train_cost = 0.917, test_accuracy = 0.732, time = 19.171,test-time=0.753
Epoch 16/100, train_cost = 0.909, test_accuracy = 0.732, time = 19.322,test-time=0.728
Epoch 17/100, train_cost = 0.904, test_accuracy = 0.732, time = 18.947,test-time=0.659
Epoch 18/100, train_cost = 0.905, test_accuracy = 0.732, time = 19.072,test-time=0.664
Epoch 19/100, train_cost = 0.907, test_accuracy = 0.731, time = 19.098,test-time=0.781
Epoch 20/100, train_cost = 0.899, test_accuracy = 0.730, time = 18.963,test-time=0.732
Epoch 21/100, train_cost = 0.892, test_accuracy = 0.729, time = 18.948,test-time=0.755
Epoch 22/100, train_cost = 0.885, test_accuracy = 0.728, time = 18.838,test-time=0.718
Epoch 23/100, train_cost = 0.879, test_accuracy = 0.728, time = 19.024,test-time=0.655
Epoch 24/100, train_cost = 0.873, test_accuracy = 0.727, time = 19.105,test-time=0.781
Epoch 25/100, train_cost = 0.867, test_accuracy = 0.727, time = 18.964,test-time=0.743
Epoch 26/100, train_cost = 0.863, test_accuracy = 0.728, time = 19.138,test-time=0.759
Epoch 27/100, train_cost = 0.859, test_accuracy = 0.729, time = 19.040,test-time=0.744
Epoch 28/100, train_cost = 0.867, test_accuracy = 0.733, time = 19.013,test-time=0.749
Epoch 29/100, train_cost = 0.877, test_accuracy = 0.733, time = 19.046,test-time=0.756
Epoch 30/100, train_cost = 0.877, test_accuracy = 0.731, time = 20.513,test-time=0.758
Epoch 31/100, train_cost = 0.877, test_accuracy = 0.731, time = 19.058,test-time=0.731
Epoch 32/100, train_cost = 0.876, test_accuracy = 0.730, time = 18.979,test-time=0.664
Epoch 33/100, train_cost = 0.870, test_accuracy = 0.728, time = 18.982,test-time=0.753
Epoch 34/100, train_cost = 0.864, test_accuracy = 0.728, time = 19.220,test-time=0.750
Epoch 35/100, train_cost = 0.861, test_accuracy = 0.728, time = 20.022,test-time=0.729
Epoch 36/100, train_cost = 0.860, test_accuracy = 0.728, time = 20.430,test-time=0.728
Epoch 37/100, train_cost = 0.860, test_accuracy = 0.728, time = 19.574,test-time=0.666
Epoch 38/100, train_cost = 0.855, test_accuracy = 0.728, time = 18.861,test-time=0.665
Epoch 39/100, train_cost = 0.854, test_accuracy = 0.731, time = 19.039,test-time=0.745
Epoch 40/100, train_cost = 0.860, test_accuracy = 0.732, time = 19.050,test-time=0.745
Epoch 41/100, train_cost = 0.866, test_accuracy = 0.730, time = 19.013,test-time=0.664
Epoch 42/100, train_cost = 0.860, test_accuracy = 0.728, time = 19.041,test-time=0.749
Epoch 43/100, train_cost = 0.855, test_accuracy = 0.728, time = 19.209,test-time=0.740
Epoch 44/100, train_cost = 0.850, test_accuracy = 0.727, time = 19.147,test-time=0.741
Epoch 45/100, train_cost = 0.845, test_accuracy = 0.727, time = 19.254,test-time=0.737
Epoch 46/100, train_cost = 0.842, test_accuracy = 0.727, time = 19.107,test-time=0.666
Epoch 47/100, train_cost = 0.839, test_accuracy = 0.728, time = 17.990,test-time=0.654
Epoch 48/100, train_cost = 0.837, test_accuracy = 0.731, time = 17.769,test-time=0.812
Epoch 49/100, train_cost = 0.848, test_accuracy = 0.734, time = 17.222,test-time=0.734
Epoch 50/100, train_cost = 0.863, test_accuracy = 0.733, time = 17.382,test-time=0.657
Epoch 51/100, train_cost = 0.863, test_accuracy = 0.731, time = 17.069,test-time=0.657
Epoch 52/100, train_cost = 0.855, test_accuracy = 0.728, time = 17.107,test-time=0.659
Epoch 53/100, train_cost = 0.846, test_accuracy = 0.728, time = 17.130,test-time=0.655
Epoch 54/100, train_cost = 0.838, test_accuracy = 0.729, time = 17.531,test-time=0.817
Epoch 55/100, train_cost = 0.837, test_accuracy = 0.731, time = 17.382,test-time=0.824
Epoch 56/100, train_cost = 0.846, test_accuracy = 0.732, time = 17.577,test-time=0.733
