Epoch 70/100, train_cost = 0.839, test_accuracy = 0.727, time = 19.951,test-time=0.815
Epoch 71/100, train_cost = 0.842, test_accuracy = 0.728, time = 19.850,test-time=0.821
Epoch 72/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.842,test-time=0.812
Epoch 73/100, train_cost = 0.841, test_accuracy = 0.730, time = 20.107,test-time=0.824
Epoch 74/100, train_cost = 0.841, test_accuracy = 0.730, time = 20.049,test-time=0.822
Epoch 75/100, train_cost = 0.832, test_accuracy = 0.729, time = 20.062,test-time=0.815
Epoch 76/100, train_cost = 0.829, test_accuracy = 0.729, time = 19.903,test-time=0.809
Epoch 77/100, train_cost = 0.830, test_accuracy = 0.727, time = 20.441,test-time=0.816
Epoch 78/100, train_cost = 0.831, test_accuracy = 0.728, time = 20.246,test-time=0.803
Epoch 79/100, train_cost = 0.828, test_accuracy = 0.729, time = 19.753,test-time=0.804
Epoch 80/100, train_cost = 0.828, test_accuracy = 0.728, time = 19.917,test-time=0.821
Epoch 81/100, train_cost = 0.830, test_accuracy = 0.728, time = 20.086,test-time=0.816
Epoch 82/100, train_cost = 0.832, test_accuracy = 0.728, time = 19.944,test-time=0.817
Epoch 83/100, train_cost = 0.835, test_accuracy = 0.729, time = 19.932,test-time=0.829
Epoch 84/100, train_cost = 0.840, test_accuracy = 0.729, time = 19.857,test-time=0.816
Epoch 85/100, train_cost = 0.845, test_accuracy = 0.729, time = 20.119,test-time=0.822
Epoch 86/100, train_cost = 0.849, test_accuracy = 0.730, time = 20.310,test-time=0.818
Epoch 87/100, train_cost = 0.852, test_accuracy = 0.730, time = 19.849,test-time=0.822
Epoch 88/100, train_cost = 0.850, test_accuracy = 0.731, time = 20.221,test-time=0.815
Epoch 89/100, train_cost = 0.851, test_accuracy = 0.731, time = 19.863,test-time=0.816
Epoch 90/100, train_cost = 0.851, test_accuracy = 0.731, time = 19.865,test-time=0.824
Epoch 91/100, train_cost = 0.852, test_accuracy = 0.731, time = 20.160,test-time=0.819
