Epoch 1/100, train_cost = 3.238, test_accuracy = 0.375, time = 20.965,test-time=0.853
Epoch 2/100, train_cost = 2.371, test_accuracy = 0.584, time = 20.171,test-time=0.773
Epoch 3/100, train_cost = 1.709, test_accuracy = 0.604, time = 20.729,test-time=0.819
Epoch 4/100, train_cost = 1.434, test_accuracy = 0.647, time = 20.454,test-time=0.787
Epoch 5/100, train_cost = 1.280, test_accuracy = 0.719, time = 20.265,test-time=0.792
Epoch 6/100, train_cost = 1.178, test_accuracy = 0.729, time = 20.392,test-time=0.796
Epoch 7/100, train_cost = 1.102, test_accuracy = 0.746, time = 20.235,test-time=0.728
Epoch 8/100, train_cost = 1.055, test_accuracy = 0.746, time = 21.135,test-time=0.866
Epoch 9/100, train_cost = 1.012, test_accuracy = 0.746, time = 21.161,test-time=0.812
Epoch 10/100, train_cost = 0.977, test_accuracy = 0.732, time = 20.715,test-time=0.797
Epoch 11/100, train_cost = 0.958, test_accuracy = 0.732, time = 20.564,test-time=0.777
Epoch 12/100, train_cost = 0.944, test_accuracy = 0.732, time = 20.292,test-time=0.736
Epoch 13/100, train_cost = 0.932, test_accuracy = 0.731, time = 21.906,test-time=0.864
Epoch 14/100, train_cost = 0.926, test_accuracy = 0.731, time = 22.442,test-time=0.797
Epoch 15/100, train_cost = 0.923, test_accuracy = 0.731, time = 20.918,test-time=0.805
Epoch 16/100, train_cost = 0.918, test_accuracy = 0.731, time = 20.553,test-time=0.803
Epoch 17/100, train_cost = 0.914, test_accuracy = 0.732, time = 20.839,test-time=0.846
Epoch 18/100, train_cost = 0.911, test_accuracy = 0.732, time = 20.564,test-time=0.810
Epoch 19/100, train_cost = 0.905, test_accuracy = 0.732, time = 20.467,test-time=0.809
Epoch 20/100, train_cost = 0.890, test_accuracy = 0.731, time = 20.537,test-time=0.780
Epoch 21/100, train_cost = 0.883, test_accuracy = 0.729, time = 20.262,test-time=0.700
Epoch 22/100, train_cost = 0.879, test_accuracy = 0.728, time = 20.660,test-time=0.781
Epoch 23/100, train_cost = 0.877, test_accuracy = 0.728, time = 20.677,test-time=0.766
Epoch 24/100, train_cost = 0.879, test_accuracy = 0.727, time = 21.770,test-time=0.695
Epoch 25/100, train_cost = 0.883, test_accuracy = 0.730, time = 21.800,test-time=0.705
Epoch 26/100, train_cost = 0.886, test_accuracy = 0.732, time = 22.031,test-time=0.732
Epoch 27/100, train_cost = 0.884, test_accuracy = 0.733, time = 22.231,test-time=0.819
Epoch 28/100, train_cost = 0.868, test_accuracy = 0.730, time = 21.427,test-time=0.795
Epoch 29/100, train_cost = 0.858, test_accuracy = 0.728, time = 21.764,test-time=0.718
Epoch 30/100, train_cost = 0.855, test_accuracy = 0.726, time = 21.669,test-time=0.723
Epoch 31/100, train_cost = 0.856, test_accuracy = 0.726, time = 22.061,test-time=0.862
Epoch 32/100, train_cost = 0.858, test_accuracy = 0.727, time = 20.918,test-time=0.790
Epoch 33/100, train_cost = 0.858, test_accuracy = 0.727, time = 20.218,test-time=0.804
Epoch 34/100, train_cost = 0.857, test_accuracy = 0.727, time = 20.349,test-time=0.780
Epoch 35/100, train_cost = 0.857, test_accuracy = 0.727, time = 20.342,test-time=0.793
Epoch 36/100, train_cost = 0.858, test_accuracy = 0.727, time = 21.217,test-time=0.736
Epoch 37/100, train_cost = 0.862, test_accuracy = 0.730, time = 21.658,test-time=0.856
Epoch 38/100, train_cost = 0.865, test_accuracy = 0.732, time = 20.942,test-time=0.806
Epoch 39/100, train_cost = 0.862, test_accuracy = 0.731, time = 21.447,test-time=0.869
Epoch 40/100, train_cost = 0.851, test_accuracy = 0.729, time = 21.546,test-time=0.867
Epoch 41/100, train_cost = 0.852, test_accuracy = 0.730, time = 21.930,test-time=0.786
Epoch 42/100, train_cost = 0.857, test_accuracy = 0.730, time = 22.182,test-time=0.683
Epoch 43/100, train_cost = 0.860, test_accuracy = 0.731, time = 19.608,test-time=0.704
Epoch 44/100, train_cost = 0.859, test_accuracy = 0.732, time = 19.681,test-time=0.729
Epoch 45/100, train_cost = 0.861, test_accuracy = 0.732, time = 19.718,test-time=0.839
Epoch 46/100, train_cost = 0.865, test_accuracy = 0.733, time = 20.158,test-time=0.865
Epoch 47/100, train_cost = 0.866, test_accuracy = 0.734, time = 20.220,test-time=0.840
Epoch 48/100, train_cost = 0.852, test_accuracy = 0.730, time = 19.583,test-time=0.759
Epoch 49/100, train_cost = 0.849, test_accuracy = 0.730, time = 19.637,test-time=0.762
Epoch 50/100, train_cost = 0.850, test_accuracy = 0.729, time = 19.652,test-time=0.688
Epoch 51/100, train_cost = 0.853, test_accuracy = 0.730, time = 20.041,test-time=0.885
Epoch 52/100, train_cost = 0.856, test_accuracy = 0.730, time = 19.240,test-time=0.775
Epoch 53/100, train_cost = 0.858, test_accuracy = 0.732, time = 19.598,test-time=0.710
Epoch 54/100, train_cost = 0.859, test_accuracy = 0.733, time = 19.559,test-time=0.883
Epoch 55/100, train_cost = 0.851, test_accuracy = 0.729, time = 21.602,test-time=0.840
Epoch 56/100, train_cost = 0.843, test_accuracy = 0.729, time = 19.542,test-time=0.849
Epoch 57/100, train_cost = 0.843, test_accuracy = 0.729, time = 19.872,test-time=0.860
Epoch 58/100, train_cost = 0.846, test_accuracy = 0.728, time = 19.395,test-time=0.768
Epoch 59/100, train_cost = 0.849, test_accuracy = 0.729, time = 19.902,test-time=0.874
Epoch 60/100, train_cost = 0.853, test_accuracy = 0.730, time = 19.518,test-time=0.875
Epoch 61/100, train_cost = 0.855, test_accuracy = 0.732, time = 19.831,test-time=0.866
Epoch 62/100, train_cost = 0.848, test_accuracy = 0.730, time = 20.155,test-time=0.765
Epoch 63/100, train_cost = 0.838, test_accuracy = 0.727, time = 19.830,test-time=0.875
Epoch 64/100, train_cost = 0.838, test_accuracy = 0.727, time = 19.817,test-time=0.749
Epoch 65/100, train_cost = 0.840, test_accuracy = 0.727, time = 19.418,test-time=0.711
Epoch 66/100, train_cost = 0.843, test_accuracy = 0.727, time = 19.922,test-time=0.882
Epoch 67/100, train_cost = 0.846, test_accuracy = 0.728, time = 19.890,test-time=0.790
Epoch 68/100, train_cost = 0.848, test_accuracy = 0.729, time = 19.346,test-time=0.728
Epoch 69/100, train_cost = 0.848, test_accuracy = 0.730, time = 19.783,test-time=0.766
Epoch 70/100, train_cost = 0.844, test_accuracy = 0.729, time = 20.782,test-time=0.750
Epoch 71/100, train_cost = 0.836, test_accuracy = 0.728, time = 22.141,test-time=0.749
Epoch 72/100, train_cost = 0.842, test_accuracy = 0.728, time = 20.939,test-time=0.804
Epoch 73/100, train_cost = 0.849, test_accuracy = 0.729, time = 21.018,test-time=0.776
Epoch 74/100, train_cost = 0.854, test_accuracy = 0.730, time = 20.683,test-time=0.828
Epoch 75/100, train_cost = 0.856, test_accuracy = 0.731, time = 20.577,test-time=0.791
Epoch 76/100, train_cost = 0.859, test_accuracy = 0.732, time = 20.471,test-time=0.712
Epoch 77/100, train_cost = 0.855, test_accuracy = 0.731, time = 20.518,test-time=0.731
Epoch 78/100, train_cost = 0.845, test_accuracy = 0.731, time = 20.213,test-time=0.737
