Epoch 1/100, train_cost = 3.239, test_accuracy = 0.348, time = 20.734,test-time=0.892
Epoch 2/100, train_cost = 2.449, test_accuracy = 0.556, time = 20.261,test-time=0.804
Epoch 3/100, train_cost = 2.097, test_accuracy = 0.586, time = 20.315,test-time=0.821
Epoch 4/100, train_cost = 1.883, test_accuracy = 0.597, time = 20.444,test-time=0.814
Epoch 5/100, train_cost = 1.730, test_accuracy = 0.603, time = 20.789,test-time=0.820
Epoch 6/100, train_cost = 1.613, test_accuracy = 0.606, time = 20.730,test-time=0.820
Epoch 7/100, train_cost = 1.520, test_accuracy = 0.616, time = 20.911,test-time=0.821
Epoch 8/100, train_cost = 1.443, test_accuracy = 0.631, time = 20.862,test-time=0.822
Epoch 9/100, train_cost = 1.379, test_accuracy = 0.641, time = 21.067,test-time=0.825
Epoch 10/100, train_cost = 1.325, test_accuracy = 0.651, time = 21.460,test-time=0.822
Epoch 11/100, train_cost = 1.279, test_accuracy = 0.691, time = 20.790,test-time=0.821
Epoch 12/100, train_cost = 1.240, test_accuracy = 0.715, time = 20.743,test-time=0.819
Epoch 13/100, train_cost = 1.205, test_accuracy = 0.717, time = 20.577,test-time=0.818
Epoch 14/100, train_cost = 1.176, test_accuracy = 0.722, time = 21.062,test-time=0.828
Epoch 15/100, train_cost = 1.150, test_accuracy = 0.725, time = 20.700,test-time=0.813
Epoch 16/100, train_cost = 1.127, test_accuracy = 0.728, time = 20.559,test-time=0.809
Epoch 17/100, train_cost = 1.107, test_accuracy = 0.743, time = 20.882,test-time=0.808
Epoch 18/100, train_cost = 1.089, test_accuracy = 0.744, time = 20.960,test-time=0.822
Epoch 19/100, train_cost = 1.073, test_accuracy = 0.744, time = 21.010,test-time=0.811
Epoch 20/100, train_cost = 1.059, test_accuracy = 0.745, time = 20.979,test-time=0.826
Epoch 21/100, train_cost = 1.046, test_accuracy = 0.745, time = 20.951,test-time=0.821
