Epoch 1/100, train_cost = 2.122, test_accuracy = 0.584, time = 22.083,test-time=0.892
Epoch 2/100, train_cost = 1.722, test_accuracy = 0.601, time = 21.490,test-time=0.819
Epoch 3/100, train_cost = 1.510, test_accuracy = 0.622, time = 21.371,test-time=0.806
Epoch 4/100, train_cost = 1.371, test_accuracy = 0.647, time = 21.218,test-time=0.808
Epoch 5/100, train_cost = 1.273, test_accuracy = 0.711, time = 21.263,test-time=0.836
Epoch 6/100, train_cost = 1.202, test_accuracy = 0.722, time = 21.368,test-time=0.835
Epoch 7/100, train_cost = 1.149, test_accuracy = 0.743, time = 21.459,test-time=0.823
Epoch 8/100, train_cost = 1.110, test_accuracy = 0.746, time = 21.489,test-time=0.832
Epoch 9/100, train_cost = 1.079, test_accuracy = 0.746, time = 21.417,test-time=0.809
Epoch 10/100, train_cost = 1.047, test_accuracy = 0.747, time = 21.305,test-time=0.827
Epoch 11/100, train_cost = 1.015, test_accuracy = 0.746, time = 21.499,test-time=0.819
Epoch 12/100, train_cost = 0.995, test_accuracy = 0.745, time = 21.356,test-time=0.842
Epoch 13/100, train_cost = 0.980, test_accuracy = 0.745, time = 21.607,test-time=0.815
Epoch 14/100, train_cost = 0.969, test_accuracy = 0.733, time = 21.799,test-time=0.820
Epoch 15/100, train_cost = 0.960, test_accuracy = 0.734, time = 21.953,test-time=0.854
Epoch 16/100, train_cost = 0.953, test_accuracy = 0.734, time = 21.597,test-time=0.821
Epoch 17/100, train_cost = 0.947, test_accuracy = 0.734, time = 21.537,test-time=0.823
Epoch 18/100, train_cost = 0.942, test_accuracy = 0.735, time = 21.596,test-time=0.815
Epoch 19/100, train_cost = 0.937, test_accuracy = 0.735, time = 21.605,test-time=0.823
Epoch 20/100, train_cost = 0.925, test_accuracy = 0.735, time = 21.607,test-time=0.844
Epoch 21/100, train_cost = 0.913, test_accuracy = 0.733, time = 21.754,test-time=0.834
Epoch 22/100, train_cost = 0.907, test_accuracy = 0.731, time = 21.426,test-time=0.817
Epoch 23/100, train_cost = 0.902, test_accuracy = 0.731, time = 21.373,test-time=0.823
Epoch 24/100, train_cost = 0.898, test_accuracy = 0.731, time = 21.319,test-time=0.827
Epoch 25/100, train_cost = 0.895, test_accuracy = 0.730, time = 21.328,test-time=0.823
Epoch 26/100, train_cost = 0.893, test_accuracy = 0.730, time = 21.342,test-time=0.822
Epoch 27/100, train_cost = 0.891, test_accuracy = 0.730, time = 21.388,test-time=0.827
Epoch 28/100, train_cost = 0.891, test_accuracy = 0.730, time = 21.400,test-time=0.838
Epoch 29/100, train_cost = 0.890, test_accuracy = 0.730, time = 21.493,test-time=0.822
Epoch 30/100, train_cost = 0.889, test_accuracy = 0.732, time = 21.468,test-time=0.825
Epoch 31/100, train_cost = 0.889, test_accuracy = 0.732, time = 21.680,test-time=0.821
Epoch 32/100, train_cost = 0.888, test_accuracy = 0.732, time = 21.801,test-time=0.822
Epoch 33/100, train_cost = 0.879, test_accuracy = 0.731, time = 20.520,test-time=0.830
Epoch 34/100, train_cost = 0.875, test_accuracy = 0.731, time = 19.770,test-time=0.822
Epoch 35/100, train_cost = 0.874, test_accuracy = 0.731, time = 19.789,test-time=0.831
Epoch 36/100, train_cost = 0.874, test_accuracy = 0.731, time = 19.824,test-time=0.832
Epoch 37/100, train_cost = 0.873, test_accuracy = 0.731, time = 19.627,test-time=0.821
Epoch 38/100, train_cost = 0.872, test_accuracy = 0.731, time = 19.562,test-time=0.831
Epoch 39/100, train_cost = 0.871, test_accuracy = 0.731, time = 19.798,test-time=0.843
Epoch 40/100, train_cost = 0.871, test_accuracy = 0.731, time = 19.841,test-time=0.844
Epoch 41/100, train_cost = 0.873, test_accuracy = 0.731, time = 19.800,test-time=0.852
Epoch 42/100, train_cost = 0.875, test_accuracy = 0.731, time = 19.670,test-time=0.824
Epoch 43/100, train_cost = 0.871, test_accuracy = 0.731, time = 20.201,test-time=0.817
Epoch 44/100, train_cost = 0.868, test_accuracy = 0.731, time = 19.938,test-time=0.860
Epoch 45/100, train_cost = 0.863, test_accuracy = 0.731, time = 19.841,test-time=0.854
Epoch 46/100, train_cost = 0.861, test_accuracy = 0.731, time = 19.761,test-time=0.851
Epoch 47/100, train_cost = 0.860, test_accuracy = 0.731, time = 19.647,test-time=0.833
Epoch 48/100, train_cost = 0.858, test_accuracy = 0.731, time = 19.744,test-time=0.832
Epoch 49/100, train_cost = 0.856, test_accuracy = 0.729, time = 19.636,test-time=0.824
Epoch 50/100, train_cost = 0.854, test_accuracy = 0.729, time = 19.522,test-time=0.834
Epoch 51/100, train_cost = 0.853, test_accuracy = 0.729, time = 19.542,test-time=0.836
Epoch 52/100, train_cost = 0.852, test_accuracy = 0.729, time = 19.569,test-time=0.847
Epoch 53/100, train_cost = 0.851, test_accuracy = 0.728, time = 19.398,test-time=0.804
Epoch 54/100, train_cost = 0.851, test_accuracy = 0.729, time = 19.401,test-time=0.846
Epoch 55/100, train_cost = 0.851, test_accuracy = 0.729, time = 19.629,test-time=0.816
Epoch 56/100, train_cost = 0.851, test_accuracy = 0.730, time = 19.651,test-time=0.820
Epoch 57/100, train_cost = 0.852, test_accuracy = 0.731, time = 19.597,test-time=0.832
Epoch 58/100, train_cost = 0.853, test_accuracy = 0.731, time = 19.672,test-time=0.831
Epoch 59/100, train_cost = 0.852, test_accuracy = 0.731, time = 19.639,test-time=0.824
Epoch 60/100, train_cost = 0.850, test_accuracy = 0.730, time = 19.659,test-time=0.831
Epoch 61/100, train_cost = 0.849, test_accuracy = 0.730, time = 19.641,test-time=0.825
Epoch 62/100, train_cost = 0.848, test_accuracy = 0.730, time = 20.182,test-time=0.823
Epoch 63/100, train_cost = 0.849, test_accuracy = 0.731, time = 19.650,test-time=0.836
Epoch 64/100, train_cost = 0.848, test_accuracy = 0.731, time = 19.979,test-time=0.830
Epoch 65/100, train_cost = 0.847, test_accuracy = 0.730, time = 19.632,test-time=0.830
Epoch 66/100, train_cost = 0.846, test_accuracy = 0.730, time = 19.818,test-time=0.825
Epoch 67/100, train_cost = 0.845, test_accuracy = 0.730, time = 19.487,test-time=0.823
Epoch 68/100, train_cost = 0.845, test_accuracy = 0.730, time = 19.714,test-time=0.816
Epoch 69/100, train_cost = 0.844, test_accuracy = 0.730, time = 19.700,test-time=0.804
Epoch 70/100, train_cost = 0.843, test_accuracy = 0.730, time = 19.640,test-time=0.822
Epoch 71/100, train_cost = 0.843, test_accuracy = 0.730, time = 19.777,test-time=0.820
Epoch 72/100, train_cost = 0.842, test_accuracy = 0.729, time = 19.900,test-time=0.812
Epoch 73/100, train_cost = 0.842, test_accuracy = 0.730, time = 19.572,test-time=0.813
Epoch 74/100, train_cost = 0.841, test_accuracy = 0.730, time = 19.410,test-time=0.806
Epoch 75/100, train_cost = 0.841, test_accuracy = 0.730, time = 19.978,test-time=0.839
Epoch 76/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.893,test-time=0.815
Epoch 77/100, train_cost = 0.841, test_accuracy = 0.729, time = 19.986,test-time=0.814
Epoch 78/100, train_cost = 0.840, test_accuracy = 0.729, time = 19.873,test-time=0.828
Epoch 79/100, train_cost = 0.840, test_accuracy = 0.729, time = 19.869,test-time=0.822
Epoch 80/100, train_cost = 0.840, test_accuracy = 0.729, time = 20.021,test-time=0.814
