Epoch 70/100, train_cost = 0.856, test_accuracy = 0.730, time = 19.327,test-time=0.852
Epoch 71/100, train_cost = 0.854, test_accuracy = 0.730, time = 19.715,test-time=0.790
Epoch 72/100, train_cost = 0.855, test_accuracy = 0.731, time = 19.829,test-time=0.783
Epoch 73/100, train_cost = 0.854, test_accuracy = 0.730, time = 19.189,test-time=0.709
Epoch 74/100, train_cost = 0.853, test_accuracy = 0.729, time = 19.381,test-time=0.808
Epoch 75/100, train_cost = 0.852, test_accuracy = 0.730, time = 19.256,test-time=0.772
Epoch 76/100, train_cost = 0.851, test_accuracy = 0.729, time = 20.073,test-time=0.806
Epoch 77/100, train_cost = 0.851, test_accuracy = 0.729, time = 19.672,test-time=0.804
Epoch 78/100, train_cost = 0.851, test_accuracy = 0.729, time = 19.526,test-time=0.813
Epoch 79/100, train_cost = 0.850, test_accuracy = 0.730, time = 19.610,test-time=0.779
Epoch 80/100, train_cost = 0.850, test_accuracy = 0.729, time = 19.230,test-time=0.802
Epoch 81/100, train_cost = 0.849, test_accuracy = 0.729, time = 19.761,test-time=0.874
Epoch 82/100, train_cost = 0.849, test_accuracy = 0.729, time = 20.312,test-time=0.857
Epoch 83/100, train_cost = 0.849, test_accuracy = 0.729, time = 19.829,test-time=0.766
Epoch 84/100, train_cost = 0.848, test_accuracy = 0.729, time = 19.309,test-time=0.703
Epoch 85/100, train_cost = 0.847, test_accuracy = 0.729, time = 19.540,test-time=0.697
Epoch 86/100, train_cost = 0.846, test_accuracy = 0.729, time = 19.295,test-time=0.865
Epoch 87/100, train_cost = 0.846, test_accuracy = 0.730, time = 19.967,test-time=0.845
Epoch 88/100, train_cost = 0.846, test_accuracy = 0.730, time = 20.564,test-time=0.807
Epoch 89/100, train_cost = 0.847, test_accuracy = 0.729, time = 19.201,test-time=0.693
Epoch 90/100, train_cost = 0.846, test_accuracy = 0.730, time = 19.619,test-time=0.799
Epoch 91/100, train_cost = 0.846, test_accuracy = 0.729, time = 19.334,test-time=0.790
Epoch 92/100, train_cost = 0.846, test_accuracy = 0.729, time = 19.657,test-time=0.757
Epoch 93/100, train_cost = 0.846, test_accuracy = 0.729, time = 20.208,test-time=0.794
Epoch 94/100, train_cost = 0.846, test_accuracy = 0.729, time = 19.752,test-time=0.824
Epoch 95/100, train_cost = 0.847, test_accuracy = 0.729, time = 20.050,test-time=0.820
Epoch 96/100, train_cost = 0.847, test_accuracy = 0.729, time = 20.121,test-time=0.824
Epoch 97/100, train_cost = 0.847, test_accuracy = 0.729, time = 19.293,test-time=0.793
Epoch 98/100, train_cost = 0.847, test_accuracy = 0.729, time = 19.487,test-time=0.752
Epoch 99/100, train_cost = 0.846, test_accuracy = 0.729, time = 19.730,test-time=0.858
Epoch 100/100, train_cost = 0.845, test_accuracy = 0.729, time = 18.816,test-time=0.784
Model has been trained 
