Epoch 1/100, train_cost = 2.117, test_accuracy = 0.591, time = 19.607,test-time=0.884
Epoch 2/100, train_cost = 1.735, test_accuracy = 0.606, time = 18.962,test-time=0.840
Epoch 3/100, train_cost = 1.523, test_accuracy = 0.630, time = 19.022,test-time=0.809
Epoch 4/100, train_cost = 1.382, test_accuracy = 0.656, time = 19.079,test-time=0.819
Epoch 5/100, train_cost = 1.281, test_accuracy = 0.714, time = 19.128,test-time=0.818
Epoch 6/100, train_cost = 1.207, test_accuracy = 0.722, time = 19.182,test-time=0.823
Epoch 7/100, train_cost = 1.153, test_accuracy = 0.738, time = 19.131,test-time=0.816
Epoch 8/100, train_cost = 1.110, test_accuracy = 0.742, time = 19.398,test-time=0.838
Epoch 9/100, train_cost = 1.075, test_accuracy = 0.744, time = 19.393,test-time=0.813
Epoch 10/100, train_cost = 1.048, test_accuracy = 0.745, time = 19.097,test-time=0.807
Epoch 11/100, train_cost = 1.026, test_accuracy = 0.746, time = 19.291,test-time=0.815
Epoch 12/100, train_cost = 1.009, test_accuracy = 0.747, time = 19.127,test-time=0.813
Epoch 13/100, train_cost = 0.994, test_accuracy = 0.747, time = 19.320,test-time=0.826
Epoch 14/100, train_cost = 0.982, test_accuracy = 0.747, time = 19.470,test-time=0.823
Epoch 15/100, train_cost = 0.971, test_accuracy = 0.735, time = 19.201,test-time=0.828
Epoch 16/100, train_cost = 0.963, test_accuracy = 0.735, time = 19.351,test-time=0.813
Epoch 17/100, train_cost = 0.954, test_accuracy = 0.735, time = 19.237,test-time=0.827
Epoch 18/100, train_cost = 0.947, test_accuracy = 0.735, time = 19.172,test-time=0.818
Epoch 19/100, train_cost = 0.941, test_accuracy = 0.735, time = 19.391,test-time=0.809
Epoch 20/100, train_cost = 0.936, test_accuracy = 0.735, time = 19.250,test-time=0.815
Epoch 21/100, train_cost = 0.932, test_accuracy = 0.735, time = 18.891,test-time=0.810
Epoch 22/100, train_cost = 0.926, test_accuracy = 0.734, time = 19.381,test-time=0.811
Epoch 23/100, train_cost = 0.921, test_accuracy = 0.734, time = 19.246,test-time=0.819
Epoch 24/100, train_cost = 0.916, test_accuracy = 0.734, time = 18.842,test-time=0.822
Epoch 25/100, train_cost = 0.911, test_accuracy = 0.734, time = 19.221,test-time=0.814
Epoch 26/100, train_cost = 0.907, test_accuracy = 0.731, time = 19.188,test-time=0.807
Epoch 27/100, train_cost = 0.903, test_accuracy = 0.731, time = 19.073,test-time=0.801
Epoch 28/100, train_cost = 0.899, test_accuracy = 0.730, time = 19.099,test-time=0.796
Epoch 29/100, train_cost = 0.895, test_accuracy = 0.729, time = 19.227,test-time=0.811
Epoch 30/100, train_cost = 0.892, test_accuracy = 0.728, time = 18.975,test-time=0.813
Epoch 31/100, train_cost = 0.889, test_accuracy = 0.728, time = 19.157,test-time=0.820
Epoch 32/100, train_cost = 0.886, test_accuracy = 0.728, time = 19.059,test-time=0.817
Epoch 33/100, train_cost = 0.882, test_accuracy = 0.727, time = 19.042,test-time=0.826
Epoch 34/100, train_cost = 0.878, test_accuracy = 0.727, time = 19.252,test-time=0.817
Epoch 35/100, train_cost = 0.878, test_accuracy = 0.727, time = 19.096,test-time=0.823
Epoch 36/100, train_cost = 0.877, test_accuracy = 0.728, time = 19.184,test-time=0.827
Epoch 37/100, train_cost = 0.875, test_accuracy = 0.728, time = 19.085,test-time=0.817
Epoch 38/100, train_cost = 0.874, test_accuracy = 0.731, time = 18.865,test-time=0.823
Epoch 39/100, train_cost = 0.873, test_accuracy = 0.731, time = 19.058,test-time=0.814
Epoch 40/100, train_cost = 0.873, test_accuracy = 0.730, time = 18.799,test-time=0.807
Epoch 41/100, train_cost = 0.872, test_accuracy = 0.730, time = 18.911,test-time=0.829
Epoch 42/100, train_cost = 0.871, test_accuracy = 0.728, time = 18.918,test-time=0.833
Epoch 43/100, train_cost = 0.870, test_accuracy = 0.727, time = 18.890,test-time=0.824
Epoch 44/100, train_cost = 0.870, test_accuracy = 0.727, time = 18.880,test-time=0.829
Epoch 45/100, train_cost = 0.869, test_accuracy = 0.727, time = 18.788,test-time=0.816
Epoch 46/100, train_cost = 0.869, test_accuracy = 0.727, time = 18.856,test-time=0.801
Epoch 47/100, train_cost = 0.868, test_accuracy = 0.726, time = 19.036,test-time=0.806
Epoch 48/100, train_cost = 0.867, test_accuracy = 0.726, time = 18.879,test-time=0.810
Epoch 49/100, train_cost = 0.866, test_accuracy = 0.726, time = 19.050,test-time=0.838
Epoch 50/100, train_cost = 0.865, test_accuracy = 0.727, time = 18.782,test-time=0.824
Epoch 51/100, train_cost = 0.865, test_accuracy = 0.727, time = 18.968,test-time=0.809
Epoch 52/100, train_cost = 0.864, test_accuracy = 0.727, time = 18.872,test-time=0.821
Epoch 53/100, train_cost = 0.864, test_accuracy = 0.727, time = 19.137,test-time=0.827
Epoch 54/100, train_cost = 0.863, test_accuracy = 0.727, time = 19.223,test-time=0.821
Epoch 55/100, train_cost = 0.863, test_accuracy = 0.728, time = 19.242,test-time=0.803
Epoch 56/100, train_cost = 0.862, test_accuracy = 0.729, time = 18.724,test-time=0.811
Epoch 57/100, train_cost = 0.865, test_accuracy = 0.728, time = 18.891,test-time=0.813
